order_id,order_date,customer_name,product,category,quantity,price
1001,2026-08-01,Ravi,Laptop,Electronics,1,55000
1002,2026-08-01,Sita,Mouse,Electronics,2,800
1003,2026-08-02,Rahul,Keyboard,Electronics,1,1500
1004,2026-08-02,Anjali,Chair,Furniture,2,4500
1005,2026-08-03,Kiran,Desk,Furniture,1,7500
1006,2026-08-03,Priya,Monitor,Electronics,1,12000
1007,2026-08-04,Arjun,Notebook,Stationery,5,100
1008,2026-08-04,Meena,Pen,Stationery,10,20
1009,2026-08-05,Vijay,Headphones,Electronics,2,2000
1010,2026-08-05,Divya,Office Table,Furniture,1,9000
